sale_id,date,product_name,category,quantity,unit_price,region
S0014,2024-01-02,Basketball,Sports,10,36.45,North
S0044,2024-01-12,Webcam HD,Electronics,4,67.79,North
S0038,2024-01-25,Monitor 27inch,Electronics,4,384.2,East
S0016,2024-02-03,Basketball,Sports,2,36.87,East
S0007,2024-02-07,Kitchen Scale,Home & Garden,6,26.38,West
S0013,2024-02-08,Cotton T-Shirt,Clothing,7,23.67,South
S0050,2024-02-10,Running Shoes,Clothing,1,96.27,West
S0018,2024-02-21,Running Shoes,Clothing,8,97.33,East
S0031,2024-02-21,Webcam HD,Electronics,9,67.31,East
S0028,2024-02-22,Sports Shorts,Clothing,3,28.9,West
S0049,2024-03-02,Bluetooth Speaker,Electronics,3,86.36,North
S0035,2024-03-09,Yoga Mat,Sports,4,29.87,East
S0032,2024-04-19,Sports Shorts,Clothing,3,29.54,West
S0010,2024-04-21,Wireless Earbuds,Electronics,2,139.13,North
S0006,2024-05-17,Yoga Mat,Sports,10,27.3,West
S0033,2024-05-18,Power Bank,Electronics,2,41.17,West
S0015,2024-05-21,Jump Rope,Sports,3,14.86,South
S0012,2024-05-30,Coffee Maker,Home & Garden,6,72.56,North
S0029,2024-05-30,Running Shoes,Clothing,10,83.88,East
S0045,2024-06-01,Garden Tools,Home & Garden,10,61.55,North
S0001,2024-06-04,Formal Shirt,Clothing,8,49.0,East
S0026,2024-07-02,Plant Pot Set,Home & Garden,1,27.75,South
S0004,2024-07-03,Bed Sheets,Home & Garden,3,49.89,North
S0003,2024-07-08,Garden Tools,Home & Garden,8,64.26,South
S0034,2024-07-12,Denim Jeans,Clothing,8,58.25,East
S0011,2024-07-19,Laptop Pro,Electronics,2,1010.09,West
S0041,2024-07-21,Monitor 27inch,Electronics,6,378.37,North
S0037,2024-07-23,Garden Tools,Home & Garden,10,63.23,South
S0020,2024-08-03,Formal Shirt,Clothing,5,48.45,North
S0008,2024-08-19,Yoga Mat,Sports,10,30.8,South
S0046,2024-08-20,Garden Tools,Home & Garden,4,55.39,West
S0024,2024-08-21,Kitchen Scale,Home & Garden,8,24.11,West
S0005,2024-08-24,Air Purifier,Home & Garden,9,140.05,West
S0019,2024-09-09,Bed Sheets,Home & Garden,7,54.54,West
S0025,2024-09-09,Resistance Bands,Sports,5,23.2,West
S0047,2024-09-10,Wireless Mouse,Electronics,10,51.72,East
S0017,2024-09-14,Denim Jeans,Clothing,10,63.36,West
S0027,2024-09-20,Wool Sweater,Clothing,10,79.92,North
S0022,2024-10-02,Power Bank,Electronics,10,37.66,North
S0030,2024-10-07,Leather Belt,Clothing,10,34.93,South
S0002,2024-10-12,Dumbbells Set,Sports,3,93.91,East
S0039,2024-10-14,Sports Shorts,Clothing,8,27.78,West
S0043,2024-10-16,Door Mat,Home & Garden,1,19.61,East
S0021,2024-10-18,Door Mat,Home & Garden,2,19.64,South
S0040,2024-10-29,USB Keyboard,Electronics,1,72.35,West
S0009,2024-11-29,Basketball,Sports,1,35.22,East
S0048,2024-11-30,Power Bank,Electronics,5,38.71,West
S0042,2024-12-13,Running Shoes,Clothing,10,92.96,East
S0036,2024-12-15,Sports Shorts,Clothing,8,29.81,East
S0023,2024-12-30,Denim Jeans,Clothing,8,63.83,South
